x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
0,0,421,7844,80922,513375,1865629,4353676,6692891,7004547,5151939,2657394,1051666,298331,62456,11382,1443,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,279,7672,82105,479122,1830006,4222869,6509921,6811347,5043769,2706865,1165218,525312,310608,203475,124226,53046,25051,8964,3215,1820,628,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,277,7849,81335,478205,1758100,4128292,6308827,6624011,4938134,2724910,1315785,744155,542316,391813,215718,103309,40789,23705,12859,8499,5057,1965,0,358,364,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,792,7586,83910,486725,1709346,4028526,6124845,6484826,4777628,2686385,1427718,980489,758654,549095,330457,161029,73428,48944,31035,20359,7279,4617,2047,703,368,0,396,404,0,0,0,0,0,0,0,0,0,0
0,0,286,8070,72571,448772,1683479,3943029,6003593,6277464,4638550,2731946,1550429,1172806,954865,694427,420330,212651,125753,77955,51083,31680,14930,5590,2751,4594,2562,2266,0,0,0,0,0,0,0,0,0,0,0,0
0,0,423,6793,73341,449795,1623261,3775876,5794554,6170106,4608334,2686729,1699361,1345332,1163956,852783,505002,273836,169070,110262,78563,49628,27254,13183,6123,1416,4046,756,0,401,413,0,0,0,0,0,0,0,0,0
0,0,347,7233,70141,443078,1580487,3667724,5681363,5944085,4483157,2707740,1785982,1542349,1374860,994392,607746,325240,207628,152598,112385,64866,38742,17816,10573,6008,3678,3019,778,405,0,0,0,0,0,0,0,0,0,0
0,58,721,6408,70642,415058,1523280,3598145,5547357,5775341,4373742,2708633,1842107,1722400,1549626,1128235,715667,390710,267160,199471,148024,86047,51952,28983,20492,11705,6624,1896,1176,0,831,423,0,0,0,0,0,0,0,0
0,0,281,6898,65822,395777,1510637,3449033,5379426,5631910,4287985,2696799,1981120,1846773,1716496,1283635,816099,453119,329646,252919,183622,106283,69751,37551,24968,16304,8438,9072,2751,804,0,0,0,0,0,0,0,0,0,0
0,0,137,6271,68701,388536,1457858,3396477,5202965,5522077,4150762,2701603,2071236,1971496,1854018,1418799,871768,536343,385404,299313,216739,152838,75153,48720,38239,25166,15384,7562,5878,399,0,0,0,0,0,0,0,0,0,0
