time,Btimeseries
0.0,1.0e7
1.0,1.0305e7
2.0,1.0655e7
3.0,1.0963e7
4.0,1.1273e7
5.0,1.1636e7
6.0,1.195e7
7.0,1.2289e7
8.0,1.2623e7
9.0,1.2924e7
10.0,1.326e7
11.0,1.3611e7
12.0,1.3937e7
13.0,1.4259e7
14.0,1.4611e7
15.0,1.4978e7
16.0,1.5329e7
17.0,1.5674e7
18.0,1.6035e7
19.0,1.6436e7
20.0,1.6794e7
21.0,1.7199e7
22.0,1.7566e7
23.0,1.7975e7
24.0,1.8379e7
25.0,1.8781e7
26.0,1.9272e7
27.0,1.9746e7
28.0,2.0239e7
29.0,2.0711e7
30.0,2.1193e7
31.0,2.1713e7
32.0,2.2217e7
33.0,2.2786e7
34.0,2.3345e7
35.0,2.3927e7
36.0,2.4522e7
37.0,2.5074e7
38.0,2.5648e7
39.0,2.6281e7
40.0,2.6908e7
41.0,2.7596e7
42.0,2.8302e7
43.0,2.8928e7
44.0,2.9656e7
45.0,3.038e7
46.0,3.1091e7
47.0,3.1829e7
48.0,3.2601e7
49.0,3.3366e7
50.0,3.4166e7
51.0,3.4986e7
52.0,3.5814e7
53.0,3.6651e7
54.0,3.7486e7
55.0,3.8422e7
56.0,3.9308e7
57.0,4.0235e7
58.0,4.1148e7
59.0,4.2099e7
60.0,4.31e7
61.0,4.4126e7
62.0,4.5164e7
63.0,4.6297e7
64.0,4.7376e7
65.0,4.8486e7
66.0,4.9661e7
67.0,5.0791e7
68.0,5.2041e7
69.0,5.33e7
70.0,5.4568e7
71.0,5.5875e7
72.0,5.7246e7
73.0,5.8509e7
74.0,5.9929e7
75.0,6.1347e7
76.0,6.2839e7
77.0,6.429e7
78.0,6.572e7
79.0,6.7309e7
80.0,6.884e7
81.0,7.0458e7
82.0,7.2059e7
83.0,7.3748e7
84.0,7.5421e7
85.0,7.7151e7
86.0,7.8888e7
87.0,8.0684e7
88.0,8.2491e7
89.0,8.4376e7
90.0,8.6304e7
91.0,8.8244e7
92.0,9.0211e7
93.0,9.2237e7
94.0,9.4262e7
95.0,9.6336e7
96.0,9.8542e7
97.0,1.00663e8
98.0,1.02788e8
99.0,1.04983e8
100.0,1.07222e8
101.0,1.09432e8
102.0,1.11714e8
103.0,1.14124e8
104.0,1.16445e8
105.0,1.18789e8
106.0,1.21192e8
107.0,1.2373e8
108.0,1.26231e8
109.0,1.28823e8
110.0,1.31349e8
111.0,1.33868e8
112.0,1.36432e8
113.0,1.38915e8
114.0,1.41457e8
115.0,1.44074e8
116.0,1.46784e8
117.0,1.49372e8
118.0,1.52011e8
119.0,1.54747e8
120.0,1.57418e8
121.0,1.60068e8
122.0,1.62677e8
123.0,1.65161e8
124.0,1.67634e8
125.0,1.69996e8
126.0,1.72367e8
127.0,1.74532e8
128.0,1.76798e8
129.0,1.78936e8
130.0,1.81044e8
131.0,1.83057e8
132.0,1.84925e8
133.0,1.86754e8
134.0,1.88511e8
135.0,1.89932e8
136.0,1.91407e8
137.0,1.92774e8
138.0,1.94115e8
139.0,1.95283e8
140.0,1.96311e8
141.0,1.97254e8
142.0,1.98155e8
143.0,1.98805e8
144.0,1.99382e8
145.0,1.99804e8
146.0,2.00075e8
147.0,2.00193e8
148.0,2.00164e8
149.0,2.00023e8
150.0,1.99766e8
151.0,1.99295e8
152.0,1.98594e8
153.0,1.97776e8
154.0,1.96789e8
155.0,1.9569e8
156.0,1.94326e8
157.0,1.92889e8
158.0,1.91368e8
159.0,1.89689e8
160.0,1.88014e8
161.0,1.86321e8
162.0,1.84476e8
163.0,1.82632e8
164.0,1.80756e8
165.0,1.78805e8
166.0,1.76803e8
167.0,1.74938e8
168.0,1.72986e8
169.0,1.71142e8
170.0,1.69276e8
171.0,1.67368e8
172.0,1.65448e8
173.0,1.63621e8
174.0,1.61819e8
175.0,1.60062e8
176.0,1.58396e8
177.0,1.56767e8
178.0,1.55058e8
179.0,1.5344e8
180.0,1.51826e8
181.0,1.50272e8
182.0,1.48767e8
183.0,1.47222e8
184.0,1.45773e8
185.0,1.44319e8
186.0,1.4297e8
187.0,1.41624e8
188.0,1.40249e8
189.0,1.38979e8
190.0,1.3776e8
191.0,1.36517e8
192.0,1.35317e8
193.0,1.34169e8
194.0,1.33059e8
195.0,1.32013e8
196.0,1.30925e8
197.0,1.29913e8
198.0,1.28941e8
199.0,1.27961e8
200.0,1.27048e8
201.0,1.26141e8
202.0,1.25242e8
203.0,1.24398e8
204.0,1.23572e8
205.0,1.22768e8
206.0,1.22007e8
207.0,1.2128e8
208.0,1.20514e8
209.0,1.19746e8
210.0,1.19003e8
211.0,1.18251e8
212.0,1.17531e8
213.0,1.16861e8
214.0,1.16222e8
215.0,1.15587e8
216.0,1.14985e8
217.0,1.14417e8
218.0,1.13804e8
219.0,1.13235e8
220.0,1.12645e8
