time,Btimeseries
0.0,1.0e8
0.01,1.00028e8
0.02,1.00077e8
0.04,1.00155e8
0.05,1.0018e8
0.07,1.00226e8
0.09,1.00286e8
0.1,1.00325e8
0.12,1.00397e8
0.13,1.00433e8
0.14,1.00473e8
0.16,1.0054e8
0.17,1.00578e8
0.19,1.00641e8
0.2,1.00678e8
0.22,1.0074e8
0.23,1.00779e8
0.25,1.00838e8
0.26,1.00882e8
0.27,1.00915e8
0.28,1.00961e8
0.3,1.0101e8
0.31,1.0105e8
0.32,1.0109e8
0.33,1.01127e8
0.34,1.01158e8
0.35000000000000003,1.01185e8
0.37,1.01257e8
0.38,1.01305e8
0.39,1.01336e8
0.4,1.01375e8
0.41000000000000003,1.01409e8
0.43,1.01475e8
0.44,1.01514e8
0.45,1.01551e8
0.46,1.01582e8
0.47000000000000003,1.0162e8
0.49,1.01676e8
0.5,1.01706e8
0.51,1.01746e8
0.52,1.01786e8
0.53,1.01829e8
0.54,1.01862e8
0.55,1.01895e8
0.56,1.0192e8
0.5700000000000001,1.01949e8
0.59,1.02023e8
0.6,1.02078e8
0.61,1.02128e8
0.62,1.02164e8
0.63,1.02201e8
0.64,1.02238e8
0.65,1.02267e8
0.66,1.02288e8
0.67,1.02321e8
0.68,1.0236e8
0.6900000000000001,1.02391e8
0.7000000000000001,1.02419e8
0.72,1.02474e8
0.73,1.02516e8
0.74,1.02538e8
0.75,1.02566e8
0.76,1.02591e8
0.77,1.02614e8
0.78,1.02656e8
0.79,1.02684e8
0.8,1.02717e8
0.81,1.0275e8
0.8200000000000001,1.02777e8
0.8300000000000001,1.02803e8
0.85,1.02869e8
0.86,1.02891e8
0.87,1.02925e8
0.88,1.0296e8
0.89,1.0299e8
0.9,1.03023e8
0.91,1.03063e8
0.92,1.03102e8
0.93,1.03138e8
0.9400000000000001,1.03171e8
0.9500000000000001,1.03206e8
0.97,1.03272e8
0.98,1.03316e8
0.99,1.03346e8
1.0,1.03378e8
1.01,1.03404e8
1.02,1.03436e8
1.03,1.03476e8
1.04,1.03512e8
1.05,1.03545e8
1.06,1.0358e8
1.07,1.03601e8
1.08,1.03633e8
1.09,1.03661e8
1.1,1.03694e8
1.11,1.03725e8
1.12,1.03754e8
1.1300000000000001,1.03788e8
1.1400000000000001,1.0382e8
1.1500000000000001,1.03841e8
1.17,1.03904e8
1.18,1.03932e8
1.19,1.03969e8
1.2,1.03995e8
1.21,1.0403e8
1.22,1.04065e8
1.23,1.04094e8
1.24,1.04135e8
1.25,1.04166e8
1.26,1.04198e8
1.27,1.04219e8
1.28,1.04254e8
1.29,1.04285e8
1.3,1.04316e8
1.31,1.04344e8
1.32,1.04377e8
1.33,1.04415e8
1.34,1.04444e8
1.35,1.04478e8
1.36,1.04509e8
1.37,1.04542e8
1.3800000000000001,1.04574e8
1.3900000000000001,1.04602e8
1.4000000000000001,1.04634e8
1.42,1.04701e8
1.43,1.04731e8
1.44,1.04756e8
1.45,1.04787e8
1.46,1.04812e8
1.47,1.04846e8
1.48,1.04874e8
1.49,1.04905e8
1.5,1.04946e8
1.51,1.04983e8
1.52,1.05018e8
1.53,1.05043e8
1.54,1.0507e8
1.55,1.05105e8
1.56,1.0515e8
1.57,1.0518e8
1.58,1.05211e8
1.59,1.05241e8
1.6,1.05273e8
1.61,1.05308e8
1.62,1.05343e8
1.6300000000000001,1.05376e8
1.6400000000000001,1.054e8
1.6500000000000001,1.05432e8
1.6600000000000001,1.05465e8
1.68,1.05513e8
1.69,1.0555e8
1.7,1.05586e8
1.71,1.05621e8
1.72,1.05654e8
1.73,1.05692e8
1.74,1.05721e8
1.75,1.05754e8
1.76,1.05785e8
1.77,1.05818e8
1.78,1.05851e8
1.79,1.05893e8
1.8,1.05923e8
1.81,1.05954e8
1.82,1.05978e8
1.83,1.06014e8
1.84,1.06037e8
1.85,1.06075e8
1.86,1.06102e8
1.87,1.06126e8
1.8800000000000001,1.06162e8
1.8900000000000001,1.06188e8
1.9000000000000001,1.06219e8
1.9100000000000001,1.06253e8
1.93,1.06307e8
1.94,1.06336e8
1.95,1.06362e8
1.96,1.06381e8
1.97,1.06412e8
1.98,1.06445e8
1.99,1.0648e8
2.0,1.06505e8
2.0100000000000002,1.06535e8
2.0300000000000002,1.06604e8
2.05,1.06661e8
2.06,1.06693e8
2.08,1.06748e8
2.1,1.06797e8
2.12,1.06863e8
2.14,1.06939e8
2.16,1.06995e8
2.18,1.07052e8
2.2,1.07116e8
2.22,1.07173e8
2.24,1.07251e8
2.2600000000000002,1.07306e8
2.2800000000000002,1.07364e8
2.3000000000000003,1.07425e8
2.32,1.07481e8
2.33,1.07518e8
2.35,1.07576e8
2.37,1.07629e8
2.39,1.07678e8
2.41,1.07745e8
2.43,1.07801e8
2.45,1.07879e8
2.47,1.07945e8
2.49,1.08013e8
2.5100000000000002,1.08077e8
2.5300000000000002,1.08138e8
2.5500000000000003,1.08207e8
2.57,1.08272e8
2.58,1.08306e8
2.6,1.08373e8
2.62,1.08425e8
2.64,1.08479e8
2.66,1.08543e8
2.68,1.08602e8
2.7,1.08658e8
2.72,1.08708e8
2.74,1.08758e8
2.7600000000000002,1.08815e8
2.7800000000000002,1.08868e8
2.8000000000000003,1.08921e8
2.82,1.08984e8
2.83,1.09013e8
2.85,1.09073e8
2.87,1.09125e8
2.89,1.0919e8
2.91,1.09258e8
2.93,1.0933e8
2.95,1.09399e8
2.97,1.09451e8
2.99,1.0951e8
3.0100000000000002,1.09565e8
3.0300000000000002,1.09619e8
