time,Itimeseries
1.0,4000.0
2.0,6000.0
3.0,9000.0
4.0,9000.0
5.0,12000.0
6.0,13000.0
7.0,18000.0
8.0,20000.0
9.0,24000.0
10.0,24000.0
11.0,29000.0
12.0,32000.0
13.0,34000.0
14.0,36000.0
15.0,36000.0
16.0,38000.0
17.0,38000.0
18.0,42000.0
19.0,44000.0
20.0,46000.0
21.0,48000.0
22.0,49000.0
23.0,49000.0
24.0,51000.0
25.0,53000.0
26.0,54000.0
27.0,54000.0
28.0,56000.0
29.0,58000.0
30.0,57000.0
31.0,58000.0
32.0,60000.0
33.0,66000.0
34.0,72000.0
35.0,74000.0
36.0,82000.0
37.0,91000.0
38.0,104000.0
39.0,115000.0
40.0,127000.0
41.0,139000.0
42.0,154000.0
43.0,162000.0
44.0,175000.0
45.0,190000.0
46.0,205000.0
47.0,222000.0
48.0,236000.0
49.0,249000.0
50.0,264000.0
51.0,280000.0
52.0,294000.0
53.0,312000.0
54.0,323000.0
55.0,352000.0
56.0,377000.0
57.0,390000.0
58.0,413000.0
59.0,424000.0
60.0,440000.0
61.0,465000.0
62.0,497000.0
63.0,526000.0
64.0,558000.0
65.0,595000.0
66.0,639000.0
67.0,692000.0
68.0,762000.0
69.0,848000.0
70.0,906000.0
71.0,990000.0
72.0,1.092e6
73.0,1.189e6
74.0,1.3e6
75.0,1.434e6
76.0,1.543e6
77.0,1.688e6
78.0,1.813e6
79.0,1.944e6
80.0,2.068e6
81.0,2.203e6
82.0,2.355e6
83.0,2.542e6
84.0,2.734e6
85.0,2.944e6
86.0,3.142e6
87.0,3.365e6
88.0,3.535e6
89.0,3.747e6
90.0,3.99e6
91.0,4.185e6
92.0,4.45e6
93.0,4.743e6
94.0,5.036e6
95.0,5.425e6
96.0,5.853e6
97.0,6.328e6
98.0,6.859e6
99.0,7.489e6
100.0,8.139e6
101.0,8.892e6
102.0,9.647e6
103.0,1.0466e7
104.0,1.1345e7
105.0,1.2321e7
106.0,1.3305e7
107.0,1.4422e7
108.0,1.5568e7
109.0,1.6707e7
110.0,1.7929e7
111.0,1.9144e7
112.0,2.0415e7
113.0,2.1785e7
114.0,2.3272e7
115.0,2.4841e7
116.0,2.6479e7
117.0,2.8143e7
118.0,2.9844e7
119.0,3.1591e7
120.0,3.3361e7
121.0,3.5299e7
122.0,3.7411e7
123.0,3.9753e7
124.0,4.2208e7
125.0,4.4861e7
126.0,4.7904e7
