time,Ptimeseries
0.0,100000.0
1.0,98200.0
2.0,95100.0
3.0,93300.0
4.0,91100.0
5.0,89600.0
6.0,87300.0
7.0,84900.0
8.0,82700.0
9.0,81000.0
10.0,79200.0
11.0,77500.0
12.0,74700.0
13.0,72100.0
14.0,69900.0
15.0,67100.0
16.0,65100.0
17.0,62600.0
18.0,61500.0
19.0,59600.0
20.0,56900.0
21.0,55200.0
22.0,53100.0
23.0,51200.0
24.0,49000.0
25.0,47500.0
26.0,70300.0
27.0,158400.0
28.0,339800.0
29.0,553700.0
30.0,837500.0
31.0,1.1855e6
32.0,1.4625e6
33.0,1.6628e6
34.0,1.9073e6
35.0,2.0699e6
36.0,2.2819e6
37.0,2.4242e6
38.0,2.706e6
39.0,2.8765e6
40.0,3.1335e6
41.0,3.1623e6
42.0,3.2528e6
43.0,3.4481e6
44.0,3.4387e6
45.0,3.5784e6
46.0,3.6088e6
47.0,3.7372e6
48.0,3.8979e6
49.0,3.9377e6
50.0,4.0999e6
51.0,4.1593e6
52.0,4.1713e6
53.0,4.4183e6
54.0,5.0445e6
55.0,6.2519e6
56.0,8.1957e6
57.0,1.11995e7
58.0,1.53951e7
59.0,2.08879e7
60.0,2.7177e7
61.0,3.40546e7
62.0,4.12565e7
63.0,4.82061e7
64.0,5.61731e7
65.0,6.26682e7
66.0,6.90916e7
67.0,7.53427e7
68.0,7.95084e7
69.0,8.47374e7
70.0,8.89113e7
71.0,9.27466e7
72.0,9.57241e7
73.0,9.79864e7
74.0,9.97752e7
75.0,1.026344e8
76.0,1.043573e8
77.0,1.058377e8
78.0,1.076635e8
79.0,1.083353e8
80.0,1.104039e8
81.0,1.125039e8
82.0,1.151978e8
83.0,1.17318e8
84.0,1.209413e8
85.0,1.242867e8
86.0,1.290358e8
87.0,1.346352e8
88.0,1.396773e8
89.0,1.466524e8
90.0,1.540318e8
91.0,1.623303e8
92.0,1.704695e8
93.0,1.762155e8
94.0,1.813114e8
95.0,1.860386e8
96.0,1.879304e8
97.0,1.894952e8
98.0,1.905479e8
99.0,1.9079e8
100.0,1.898346e8
101.0,1.886107e8
102.0,1.879069e8
103.0,1.852635e8
104.0,1.827864e8
105.0,1.793159e8
106.0,1.752752e8
107.0,1.723276e8
108.0,1.691454e8
109.0,1.659997e8
