time,Ptimeseries
0.0,100000.0
1.0,96000.0
2.0,94000.0
3.0,91000.0
4.0,91000.0
5.0,88000.0
6.0,87000.0
7.0,82000.0
8.0,80000.0
9.0,76000.0
10.0,76000.0
11.0,71000.0
12.0,68000.0
13.0,66000.0
14.0,64000.0
15.0,64000.0
16.0,62000.0
17.0,62000.0
18.0,58000.0
19.0,56000.0
20.0,54000.0
21.0,52000.0
22.0,51000.0
23.0,51000.0
24.0,49000.0
25.0,47000.0
26.0,54000.0
27.0,61000.0
28.0,68000.0
29.0,83000.0
30.0,105000.0
31.0,130000.0
32.0,150000.0
33.0,193000.0
34.0,211000.0
35.0,217000.0
36.0,225000.0
37.0,241000.0
38.0,228000.0
39.0,226000.0
40.0,232000.0
41.0,249000.0
42.0,234000.0
43.0,255000.0
44.0,262000.0
45.0,256000.0
46.0,264000.0
47.0,275000.0
48.0,281000.0
49.0,274000.0
50.0,267000.0
51.0,269000.0
52.0,285000.0
53.0,267000.0
54.0,272000.0
55.0,259000.0
56.0,270000.0
57.0,272000.0
58.0,266000.0
59.0,313000.0
60.0,381000.0
61.0,429000.0
62.0,434000.0
63.0,458000.0
64.0,546000.0
65.0,617000.0
66.0,715000.0
67.0,830000.0
68.0,818000.0
69.0,802000.0
70.0,946000.0
71.0,981000.0
72.0,939000.0
73.0,1.01e6
74.0,1.024e6
75.0,1.08e6
76.0,1.164e6
77.0,1.184e6
78.0,1.212e6
79.0,1.228e6
80.0,1.26e6
81.0,1.248e6
82.0,1.335e6
83.0,1.383e6
84.0,1.394e6
85.0,1.407e6
86.0,1.414e6
87.0,1.29e6
88.0,1.498e6
89.0,1.58e6
90.0,1.611e6
91.0,1.704e6
92.0,1.831e6
93.0,2.0e6
94.0,2.42e6
95.0,2.679e6
96.0,2.915e6
97.0,3.254e6
98.0,3.51e6
99.0,3.695e6
100.0,3.937e6
101.0,4.125e6
102.0,4.458e6
103.0,4.781e6
104.0,5.231e6
105.0,5.291e6
106.0,5.551e6
107.0,5.784e6
