time,Ptimeseries
0.0,2.0e7
1.0,1.6281e7
2.0,1.3198e7
3.0,1.0606e7
4.0,8.518e6
5.0,6.738e6
6.0,5.4e6
7.0,4.226e6
8.0,3.293e6
9.0,2.613e6
10.0,2.024e6
11.0,1.561e6
12.0,1.192e6
13.0,926000.0
14.0,729000.0
15.0,537000.0
16.0,408000.0
17.0,300000.0
18.0,216000.0
19.0,143000.0
20.0,108000.0
21.0,78000.0
22.0,57000.0
23.0,624000.0
24.0,5.273e6
25.0,2.4601e7
26.0,8.0646e7
27.0,1.65307e8
28.0,2.3961e8
29.0,2.61742e8
30.0,2.40845e8
31.0,2.01951e8
32.0,1.64513e8
33.0,1.39281e8
34.0,1.20323e8
35.0,1.086e8
36.0,9.956e7
37.0,8.9255e7
38.0,9.3248e7
39.0,9.8527e7
40.0,9.4296e7
41.0,9.6406e7
42.0,9.9572e7
43.0,1.0828e8
44.0,1.11858e8
45.0,1.11152e8
46.0,1.07748e8
47.0,1.0914e8
48.0,1.13393e8
49.0,1.13601e8
50.0,1.19431e8
51.0,1.30352e8
52.0,1.51254e8
53.0,1.91657e8
54.0,2.26605e8
55.0,2.40489e8
56.0,2.31736e8
57.0,2.17727e8
58.0,2.08644e8
59.0,1.99784e8
60.0,1.87239e8
