ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,7.0
6,7.0
7,7.0
8,7.0
9,7.0
10,8.0
11,8.0
12,8.0
13,8.0
14,8.0
15,9.0
16,9.0
17,9.0
18,9.0
19,9.0
20,9.0
21,9.0
22,9.0
23,9.0
24,9.0
25,10.0
26,9.0
27,9.0
28,10.0
29,11.0
30,11.0
31,11.0
32,12.0
33,12.0
34,12.0
35,12.0
36,13.0
37,13.0
38,13.0
39,13.0
40,13.0
41,13.0
42,13.0
43,13.0
44,13.0
45,13.0
46,15.0
47,15.0
48,15.0
49,16.0
50,16.0
51,16.0
52,16.0
53,16.0
54,13.0
55,13.0
56,13.0
57,13.0
58,13.0
59,13.0
60,14.0
61,14.0
62,14.0
63,14.0
64,14.0
65,14.0
66,15.0
67,15.0
68,15.0
69,15.0
70,16.0
71,16.0
72,16.0
73,17.0
74,18.0
75,21.0
76,22.0
77,22.0
78,22.0
79,22.0
80,22.0
81,22.0
82,22.0
83,22.0
84,20.0
85,20.0
86,20.0
87,20.0
88,20.0
89,21.0
90,21.0
91,23.0
92,23.0
93,23.0
94,23.0
95,23.0
96,23.0
97,23.0
98,23.0
99,23.0
100,24.0
101,24.0
102,25.0
103,28.0
104,29.0
105,30.0
106,30.0
107,30.0
108,31.0
109,31.0
110,31.0
111,29.0
112,29.0
113,29.0
114,29.0
115,30.0
116,30.0
117,30.0
118,30.0
119,30.0
120,31.0
121,33.0
