ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,7.0
5,7.0
6,7.0
7,7.0
8,7.0
9,7.0
10,8.0
11,8.0
12,8.0
13,8.0
14,8.0
15,8.0
16,8.0
17,8.0
18,8.0
19,9.0
20,9.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,10.0
27,10.0
28,10.0
29,11.0
30,9.0
31,9.0
32,9.0
33,9.0
34,9.0
35,9.0
36,9.0
37,9.0
38,9.0
39,9.0
40,9.0
41,10.0
42,11.0
43,11.0
44,11.0
45,11.0
46,11.0
47,11.0
48,11.0
49,11.0
50,12.0
51,12.0
52,13.0
53,13.0
54,13.0
55,13.0
56,13.0
57,9.0
58,8.0
59,8.0
60,8.0
61,9.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,12.0
75,13.0
76,13.0
77,13.0
78,13.0
79,13.0
80,13.0
81,14.0
82,11.0
83,11.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,11.0
90,11.0
91,11.0
92,12.0
93,12.0
94,12.0
95,12.0
96,12.0
97,12.0
98,12.0
99,14.0
100,16.0
101,16.0
102,16.0
103,16.0
104,16.0
105,16.0
106,15.0
107,16.0
108,16.0
109,14.0
110,14.0
111,15.0
112,15.0
113,15.0
114,15.0
115,15.0
116,15.0
117,15.0
118,15.0
119,15.0
120,15.0
121,16.0
