ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,6.0
11,6.0
12,6.0
13,6.0
14,8.0
15,9.0
16,9.0
17,9.0
18,9.0
19,9.0
20,9.0
21,10.0
22,11.0
23,11.0
24,11.0
25,11.0
26,11.0
27,11.0
28,10.0
29,10.0
30,10.0
31,10.0
32,10.0
33,10.0
34,10.0
35,10.0
36,11.0
37,12.0
38,12.0
39,12.0
40,13.0
41,14.0
42,14.0
43,14.0
44,14.0
45,14.0
46,15.0
47,15.0
48,15.0
49,15.0
50,15.0
51,16.0
52,16.0
53,17.0
54,17.0
55,17.0
56,18.0
57,18.0
58,19.0
59,19.0
60,19.0
61,19.0
62,19.0
63,20.0
64,21.0
65,21.0
66,21.0
67,22.0
68,23.0
69,24.0
70,25.0
71,25.0
72,26.0
73,27.0
74,28.0
75,28.0
76,28.0
77,28.0
78,28.0
79,29.0
80,30.0
81,30.0
82,30.0
83,34.0
84,34.0
85,34.0
86,34.0
87,34.0
88,34.0
89,34.0
90,36.0
91,36.0
92,37.0
93,37.0
94,37.0
95,38.0
96,41.0
97,41.0
98,43.0
99,46.0
100,46.0
101,46.0
102,46.0
103,46.0
104,48.0
105,48.0
106,49.0
107,49.0
108,50.0
109,51.0
110,51.0
111,53.0
112,55.0
113,57.0
114,58.0
115,58.0
116,60.0
117,61.0
118,64.0
119,66.0
120,68.0
121,69.0
