ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,7.0
5,7.0
6,7.0
7,7.0
8,7.0
9,7.0
10,7.0
11,8.0
12,9.0
13,9.0
14,9.0
15,9.0
16,9.0
17,9.0
18,9.0
19,9.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,9.0
27,9.0
28,9.0
29,9.0
30,10.0
31,10.0
32,10.0
33,10.0
34,10.0
35,11.0
36,11.0
37,11.0
38,11.0
39,11.0
40,11.0
41,11.0
42,11.0
43,12.0
44,13.0
45,14.0
46,14.0
47,16.0
48,16.0
49,16.0
50,16.0
51,16.0
52,16.0
53,16.0
54,16.0
55,13.0
56,12.0
57,12.0
58,12.0
59,12.0
60,13.0
61,13.0
62,13.0
63,13.0
64,15.0
65,16.0
66,16.0
67,16.0
68,16.0
69,17.0
70,17.0
71,17.0
72,17.0
73,17.0
74,17.0
75,17.0
76,17.0
77,18.0
78,18.0
79,19.0
80,20.0
81,20.0
82,21.0
83,22.0
84,23.0
85,24.0
86,25.0
87,25.0
88,25.0
89,25.0
90,25.0
91,26.0
92,26.0
93,26.0
94,27.0
95,27.0
96,27.0
97,28.0
98,29.0
99,29.0
100,29.0
101,31.0
102,32.0
103,32.0
104,32.0
105,32.0
106,32.0
107,32.0
108,32.0
109,34.0
110,34.0
111,26.0
112,25.0
113,25.0
114,25.0
115,26.0
116,26.0
117,26.0
118,27.0
119,29.0
120,29.0
121,31.0
