ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,6.0
11,7.0
12,8.0
13,8.0
14,8.0
15,9.0
16,9.0
17,9.0
18,9.0
19,9.0
20,9.0
21,9.0
22,9.0
23,9.0
24,9.0
25,9.0
26,9.0
27,9.0
28,10.0
29,8.0
30,9.0
31,10.0
32,10.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,10.0
39,12.0
40,12.0
41,12.0
42,12.0
43,12.0
44,12.0
45,13.0
46,13.0
47,13.0
48,15.0
49,15.0
50,16.0
51,16.0
52,16.0
53,16.0
54,17.0
55,17.0
56,17.0
57,17.0
58,17.0
59,17.0
60,17.0
61,18.0
62,18.0
63,18.0
64,18.0
65,18.0
66,18.0
67,19.0
68,21.0
69,22.0
70,22.0
71,23.0
72,23.0
73,23.0
74,23.0
75,24.0
76,24.0
77,25.0
78,26.0
79,27.0
80,27.0
81,27.0
82,27.0
83,29.0
84,29.0
85,29.0
86,29.0
87,29.0
88,30.0
89,31.0
90,33.0
91,33.0
92,33.0
93,34.0
94,35.0
95,35.0
96,37.0
97,38.0
98,38.0
99,41.0
100,41.0
101,42.0
102,43.0
103,44.0
104,44.0
105,44.0
106,44.0
107,45.0
108,46.0
109,46.0
110,46.0
111,46.0
112,50.0
113,50.0
114,51.0
115,51.0
116,52.0
117,52.0
118,53.0
119,53.0
120,56.0
121,58.0
