ColumnNumber,Differences
1,6.0
2,6.0
3,7.0
4,7.0
5,7.0
6,7.0
7,7.0
8,7.0
9,7.0
10,8.0
11,8.0
12,8.0
13,8.0
14,10.0
15,10.0
16,10.0
17,10.0
18,10.0
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,10.0
27,10.0
28,11.0
29,9.0
30,9.0
31,9.0
32,9.0
33,9.0
34,9.0
35,9.0
36,9.0
37,9.0
38,9.0
39,9.0
40,9.0
41,9.0
42,10.0
43,10.0
44,11.0
45,11.0
46,12.0
47,12.0
48,12.0
49,13.0
50,14.0
51,14.0
52,14.0
53,15.0
54,15.0
55,15.0
56,15.0
57,15.0
58,15.0
59,15.0
60,15.0
61,15.0
62,15.0
63,15.0
64,15.0
65,15.0
66,15.0
67,15.0
68,15.0
69,15.0
70,15.0
71,15.0
72,15.0
73,16.0
74,17.0
75,17.0
76,17.0
77,18.0
78,18.0
79,18.0
80,19.0
81,19.0
82,19.0
83,12.0
84,11.0
85,10.0
86,10.0
87,10.0
88,10.0
89,11.0
90,11.0
91,11.0
92,11.0
93,11.0
94,11.0
95,11.0
96,12.0
97,12.0
98,12.0
99,14.0
100,14.0
101,14.0
102,13.0
103,13.0
104,13.0
105,15.0
106,16.0
107,16.0
108,16.0
109,16.0
110,17.0
111,19.0
112,19.0
113,20.0
114,20.0
115,20.0
116,20.0
117,21.0
118,21.0
119,22.0
120,23.0
121,23.0
