ColumnNumber,Differences
1,6.0
2,7.0
3,7.0
4,7.0
5,7.0
6,8.0
7,9.0
8,9.0
9,10.0
10,10.0
11,10.0
12,10.0
13,10.0
14,10.0
15,11.0
16,11.0
17,11.0
18,11.0
19,11.0
20,11.0
21,11.0
22,11.0
23,11.0
24,11.0
25,11.0
26,11.0
27,10.0
28,10.0
29,10.0
30,10.0
31,10.0
32,10.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,10.0
39,10.0
40,12.0
41,13.0
42,13.0
43,13.0
44,13.0
45,14.0
46,14.0
47,15.0
48,15.0
49,16.0
50,17.0
51,18.0
52,19.0
53,19.0
54,19.0
55,17.0
56,17.0
57,17.0
58,17.0
59,17.0
60,17.0
61,17.0
62,17.0
63,17.0
64,17.0
65,21.0
66,21.0
67,21.0
68,21.0
69,22.0
70,22.0
71,22.0
72,22.0
73,22.0
74,22.0
75,22.0
76,22.0
77,23.0
78,25.0
79,24.0
80,23.0
81,22.0
82,21.0
83,24.0
84,25.0
85,25.0
86,25.0
87,25.0
88,25.0
89,26.0
90,27.0
91,27.0
92,28.0
93,28.0
94,28.0
95,28.0
96,29.0
97,29.0
98,29.0
99,30.0
100,31.0
101,31.0
102,32.0
103,33.0
104,33.0
105,36.0
106,38.0
107,39.0
108,40.0
109,37.0
110,38.0
111,38.0
112,38.0
113,38.0
114,38.0
115,38.0
116,39.0
117,39.0
118,39.0
119,41.0
120,41.0
121,42.0
