ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,7.0
10,7.0
11,8.0
12,8.0
13,8.0
14,9.0
15,9.0
16,9.0
17,9.0
18,9.0
19,9.0
20,9.0
21,9.0
22,9.0
23,9.0
24,9.0
25,9.0
26,9.0
27,9.0
28,9.0
29,8.0
30,8.0
31,9.0
32,10.0
33,10.0
34,10.0
35,10.0
36,11.0
37,11.0
38,11.0
39,11.0
40,11.0
41,11.0
42,11.0
43,11.0
44,11.0
45,11.0
46,13.0
47,13.0
48,14.0
49,15.0
50,15.0
51,15.0
52,16.0
53,16.0
54,16.0
55,16.0
56,16.0
57,16.0
58,17.0
59,17.0
60,17.0
61,17.0
62,18.0
63,18.0
64,18.0
65,18.0
66,20.0
67,21.0
68,21.0
69,21.0
70,22.0
71,22.0
72,24.0
73,24.0
74,24.0
75,24.0
76,24.0
77,24.0
78,24.0
79,26.0
80,27.0
81,29.0
82,31.0
83,31.0
84,31.0
85,32.0
86,33.0
87,33.0
88,34.0
89,35.0
90,37.0
91,38.0
92,38.0
93,39.0
94,40.0
95,40.0
96,40.0
97,40.0
98,43.0
99,47.0
100,47.0
101,48.0
102,48.0
103,48.0
104,49.0
105,50.0
106,51.0
107,52.0
108,52.0
109,53.0
110,53.0
111,53.0
112,55.0
113,55.0
114,58.0
115,59.0
116,61.0
117,64.0
118,65.0
119,67.0
120,67.0
121,67.0
