ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,6.0
11,6.0
12,6.0
13,7.0
14,7.0
15,7.0
16,9.0
17,9.0
18,9.0
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,10.0
27,10.0
28,10.0
29,8.0
30,8.0
31,8.0
32,8.0
33,8.0
34,8.0
35,8.0
36,8.0
37,8.0
38,8.0
39,8.0
40,8.0
41,8.0
42,9.0
43,9.0
44,12.0
45,13.0
46,13.0
47,13.0
48,13.0
49,13.0
50,13.0
51,14.0
52,14.0
53,15.0
54,15.0
55,11.0
56,11.0
57,10.0
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,11.0
69,11.0
70,12.0
71,12.0
72,12.0
73,12.0
74,12.0
75,12.0
76,14.0
77,14.0
78,14.0
79,14.0
80,14.0
81,15.0
82,15.0
83,15.0
84,15.0
85,15.0
86,15.0
87,15.0
88,15.0
89,15.0
90,15.0
91,15.0
92,15.0
93,15.0
94,15.0
95,15.0
96,15.0
97,16.0
98,16.0
99,16.0
100,17.0
101,18.0
102,19.0
103,20.0
104,21.0
105,21.0
106,21.0
107,21.0
108,21.0
109,11.0
110,8.0
111,7.0
112,7.0
113,6.0
114,6.0
115,6.0
116,5.0
117,5.0
118,5.0
119,4.0
120,6.0
121,6.0
