ColumnNumber,Differences
1,6.0
2,6.0
3,7.0
4,7.0
5,7.0
6,7.0
7,7.0
8,8.0
9,8.0
10,8.0
11,8.0
12,8.0
13,8.0
14,8.0
15,8.0
16,9.0
17,9.0
18,9.0
19,9.0
20,9.0
21,10.0
22,10.0
23,11.0
24,12.0
25,12.0
26,13.0
27,13.0
28,13.0
29,11.0
30,11.0
31,11.0
32,11.0
33,11.0
34,11.0
35,12.0
36,12.0
37,12.0
38,12.0
39,12.0
40,13.0
41,13.0
42,13.0
43,13.0
44,13.0
45,14.0
46,14.0
47,15.0
48,15.0
49,15.0
50,16.0
51,16.0
52,16.0
53,16.0
54,17.0
55,17.0
56,17.0
57,17.0
58,17.0
59,17.0
60,17.0
61,17.0
62,17.0
63,17.0
64,17.0
65,18.0
66,19.0
67,19.0
68,20.0
69,20.0
70,20.0
71,20.0
72,20.0
73,20.0
74,20.0
75,20.0
76,20.0
77,21.0
78,21.0
79,22.0
80,22.0
81,23.0
82,23.0
83,18.0
84,13.0
85,10.0
86,9.0
87,7.0
88,7.0
89,6.0
90,6.0
91,5.0
92,5.0
93,5.0
94,4.0
95,4.0
96,5.0
97,4.0
98,4.0
99,4.0
100,5.0
101,6.0
102,6.0
103,6.0
104,6.0
105,6.0
106,6.0
107,7.0
108,7.0
109,7.0
110,7.0
111,8.0
112,8.0
113,10.0
114,11.0
115,11.0
116,11.0
117,11.0
118,11.0
119,11.0
120,11.0
121,11.0
