ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,8.0
11,8.0
12,8.0
13,8.0
14,9.0
15,10.0
16,10.0
17,10.0
18,10.0
19,10.0
20,10.0
21,11.0
22,11.0
23,11.0
24,11.0
25,11.0
26,11.0
27,11.0
28,12.0
29,12.0
30,11.0
31,11.0
32,11.0
33,11.0
34,11.0
35,11.0
36,11.0
37,11.0
38,12.0
39,12.0
40,12.0
41,14.0
42,14.0
43,14.0
44,15.0
45,15.0
46,16.0
47,16.0
48,17.0
49,17.0
50,17.0
51,17.0
52,18.0
53,18.0
54,19.0
55,19.0
56,19.0
57,16.0
58,16.0
59,16.0
60,16.0
61,16.0
62,17.0
63,17.0
64,17.0
65,17.0
66,19.0
67,22.0
68,22.0
69,22.0
70,23.0
71,23.0
72,23.0
73,23.0
74,24.0
75,24.0
76,24.0
77,24.0
78,24.0
79,25.0
80,25.0
81,25.0
82,24.0
83,24.0
84,22.0
85,22.0
86,23.0
87,24.0
88,24.0
89,25.0
90,27.0
91,28.0
92,28.0
93,28.0
94,28.0
95,28.0
96,29.0
97,31.0
98,31.0
99,31.0
100,33.0
101,34.0
102,35.0
103,35.0
104,37.0
105,42.0
106,42.0
107,42.0
108,42.0
109,42.0
110,40.0
111,41.0
112,40.0
113,41.0
114,41.0
115,41.0
116,44.0
117,44.0
118,45.0
119,45.0
120,47.0
121,47.0
