ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,7.0
6,8.0
7,9.0
8,9.0
9,9.0
10,9.0
11,9.0
12,9.0
13,9.0
14,9.0
15,9.0
16,10.0
17,11.0
18,11.0
19,11.0
20,11.0
21,11.0
22,12.0
23,12.0
24,12.0
25,12.0
26,12.0
27,12.0
28,13.0
29,13.0
30,13.0
31,13.0
32,13.0
33,13.0
34,13.0
35,13.0
36,14.0
37,15.0
38,16.0
39,16.0
40,16.0
41,16.0
42,16.0
43,16.0
44,18.0
45,19.0
46,20.0
47,20.0
48,21.0
49,21.0
50,21.0
51,21.0
52,22.0
53,22.0
54,22.0
55,23.0
56,23.0
57,23.0
58,24.0
59,24.0
60,25.0
61,25.0
62,25.0
63,25.0
64,28.0
65,28.0
66,28.0
67,29.0
68,29.0
69,29.0
70,30.0
71,30.0
72,32.0
73,32.0
74,34.0
75,35.0
76,36.0
77,36.0
78,36.0
79,36.0
80,36.0
81,36.0
82,37.0
83,38.0
84,38.0
85,38.0
86,39.0
87,40.0
88,43.0
89,45.0
90,46.0
91,46.0
92,46.0
93,46.0
94,47.0
95,49.0
96,49.0
97,50.0
98,50.0
99,52.0
100,55.0
101,55.0
102,57.0
103,59.0
104,59.0
105,63.0
106,64.0
107,64.0
108,68.0
109,70.0
110,71.0
111,72.0
112,73.0
113,75.0
114,76.0
115,77.0
116,79.0
117,80.0
118,82.0
119,83.0
120,84.0
121,85.0
