ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,8.0
11,8.0
12,9.0
13,9.0
14,10.0
15,10.0
16,10.0
17,10.0
18,10.0
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,11.0
25,11.0
26,11.0
27,10.0
28,10.0
29,10.0
30,10.0
31,10.0
32,11.0
33,12.0
34,12.0
35,12.0
36,12.0
37,12.0
38,13.0
39,13.0
40,13.0
41,14.0
42,14.0
43,15.0
44,15.0
45,16.0
46,16.0
47,17.0
48,18.0
49,18.0
50,18.0
51,18.0
52,17.0
53,17.0
54,17.0
55,18.0
56,19.0
57,20.0
58,20.0
59,20.0
60,20.0
61,21.0
62,22.0
63,23.0
64,24.0
65,25.0
66,25.0
67,26.0
68,27.0
69,27.0
70,27.0
71,27.0
72,27.0
73,27.0
74,27.0
75,27.0
76,29.0
77,30.0
78,30.0
79,31.0
80,31.0
81,28.0
82,30.0
83,29.0
84,29.0
85,29.0
86,30.0
87,32.0
88,32.0
89,32.0
90,32.0
91,32.0
92,33.0
93,34.0
94,34.0
95,35.0
96,35.0
97,39.0
98,39.0
99,40.0
100,43.0
101,43.0
102,43.0
103,44.0
104,44.0
105,45.0
106,47.0
107,47.0
108,47.0
109,50.0
110,50.0
111,50.0
112,51.0
113,52.0
114,53.0
115,54.0
116,55.0
117,59.0
118,60.0
119,60.0
120,61.0
121,62.0
