ColumnNumber,Differences
1,6.0
2,7.0
3,8.0
4,8.0
5,8.0
6,8.0
7,8.0
8,8.0
9,8.0
10,9.0
11,9.0
12,9.0
13,9.0
14,9.0
15,9.0
16,9.0
17,10.0
18,10.0
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,11.0
25,11.0
26,11.0
27,11.0
28,10.0
29,9.0
30,9.0
31,9.0
32,9.0
33,9.0
34,9.0
35,10.0
36,10.0
37,10.0
38,10.0
39,11.0
40,13.0
41,14.0
42,14.0
43,14.0
44,14.0
45,14.0
46,14.0
47,14.0
48,14.0
49,14.0
50,14.0
51,15.0
52,16.0
53,16.0
54,16.0
55,15.0
56,15.0
57,16.0
58,16.0
59,17.0
60,17.0
61,18.0
62,18.0
63,18.0
64,18.0
65,18.0
66,19.0
67,21.0
68,23.0
69,23.0
70,23.0
71,23.0
72,23.0
73,23.0
74,24.0
75,24.0
76,24.0
77,27.0
78,27.0
79,27.0
80,29.0
81,30.0
82,32.0
83,32.0
84,32.0
85,32.0
86,32.0
87,32.0
88,33.0
89,34.0
90,34.0
91,34.0
92,34.0
93,34.0
94,34.0
95,34.0
96,35.0
97,35.0
98,37.0
99,39.0
100,39.0
101,41.0
102,42.0
103,44.0
104,44.0
105,44.0
106,46.0
107,47.0
108,47.0
109,47.0
110,48.0
111,50.0
112,52.0
113,52.0
114,55.0
115,56.0
116,56.0
117,58.0
118,58.0
119,59.0
120,61.0
121,63.0
