ColumnNumber,Differences
1,6.0
2,8.0
3,8.0
4,8.0
5,8.0
6,8.0
7,9.0
8,9.0
9,9.0
10,9.0
11,10.0
12,10.0
13,10.0
14,10.0
15,10.0
16,10.0
17,10.0
18,11.0
19,12.0
20,12.0
21,12.0
22,12.0
23,12.0
24,12.0
25,12.0
26,13.0
27,13.0
28,14.0
29,13.0
30,13.0
31,13.0
32,14.0
33,14.0
34,15.0
35,15.0
36,15.0
37,15.0
38,15.0
39,15.0
40,15.0
41,15.0
42,17.0
43,17.0
44,17.0
45,18.0
46,18.0
47,18.0
48,18.0
49,18.0
50,18.0
51,20.0
52,22.0
53,22.0
54,23.0
55,23.0
56,23.0
57,23.0
58,24.0
59,25.0
60,25.0
61,25.0
62,25.0
63,25.0
64,25.0
65,25.0
66,26.0
67,27.0
68,28.0
69,29.0
70,30.0
71,30.0
72,30.0
73,30.0
74,30.0
75,33.0
76,35.0
77,37.0
78,39.0
79,39.0
80,39.0
81,39.0
82,39.0
83,40.0
84,41.0
85,41.0
86,43.0
87,46.0
88,46.0
89,46.0
90,47.0
91,47.0
92,49.0
93,49.0
94,50.0
95,52.0
96,53.0
97,54.0
98,57.0
99,58.0
100,58.0
101,62.0
102,62.0
103,64.0
104,65.0
105,58.0
106,58.0
107,61.0
108,60.0
109,61.0
110,62.0
111,63.0
112,65.0
113,67.0
114,67.0
115,70.0
116,70.0
117,74.0
118,74.0
119,76.0
120,77.0
121,79.0
