ColumnNumber,Differences
1,6.0
2,7.0
3,7.0
4,7.0
5,7.0
6,7.0
7,7.0
8,8.0
9,8.0
10,8.0
11,8.0
12,8.0
13,8.0
14,9.0
15,9.0
16,9.0
17,9.0
18,9.0
19,10.0
20,10.0
21,10.0
22,11.0
23,11.0
24,11.0
25,11.0
26,11.0
27,12.0
28,11.0
29,11.0
30,11.0
31,11.0
32,11.0
33,11.0
34,11.0
35,11.0
36,12.0
37,13.0
38,13.0
39,14.0
40,15.0
41,15.0
42,15.0
43,15.0
44,16.0
45,16.0
46,17.0
47,17.0
48,18.0
49,18.0
50,19.0
51,19.0
52,19.0
53,19.0
54,19.0
55,19.0
56,17.0
57,16.0
58,16.0
59,16.0
60,16.0
61,16.0
62,16.0
63,17.0
64,18.0
65,18.0
66,18.0
67,18.0
68,19.0
69,19.0
70,19.0
71,23.0
72,23.0
73,24.0
74,24.0
75,26.0
76,27.0
77,27.0
78,27.0
79,27.0
80,29.0
81,27.0
82,26.0
83,25.0
84,25.0
85,26.0
86,26.0
87,26.0
88,26.0
89,26.0
90,26.0
91,26.0
92,26.0
93,27.0
94,28.0
95,30.0
96,30.0
97,32.0
98,32.0
99,34.0
100,34.0
101,34.0
