ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,7.0
10,7.0
11,7.0
12,7.0
13,7.0
14,7.0
15,7.0
16,7.0
17,8.0
18,8.0
19,8.0
20,8.0
21,8.0
22,8.0
23,8.0
24,9.0
25,10.0
26,11.0
27,11.0
28,11.0
29,10.0
30,10.0
31,10.0
32,10.0
33,11.0
34,11.0
35,12.0
36,12.0
37,12.0
38,13.0
39,13.0
40,13.0
41,14.0
42,14.0
43,15.0
44,15.0
45,15.0
46,15.0
47,15.0
48,15.0
49,15.0
50,15.0
51,15.0
52,15.0
53,15.0
54,14.0
55,13.0
56,12.0
57,14.0
58,14.0
59,14.0
60,16.0
61,16.0
62,17.0
63,17.0
64,17.0
65,17.0
66,18.0
67,18.0
68,19.0
69,19.0
70,19.0
71,20.0
72,20.0
73,20.0
74,20.0
75,20.0
76,20.0
77,20.0
78,20.0
79,21.0
80,21.0
81,22.0
82,22.0
83,24.0
84,22.0
85,22.0
86,25.0
87,25.0
88,25.0
89,27.0
90,28.0
91,28.0
92,32.0
93,32.0
94,32.0
95,32.0
96,33.0
97,34.0
98,34.0
99,34.0
100,34.0
101,35.0
