ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,7.0
10,7.0
11,8.0
12,9.0
13,9.0
14,10.0
15,10.0
16,10.0
17,11.0
18,11.0
19,11.0
20,11.0
21,11.0
22,11.0
23,11.0
24,11.0
25,12.0
26,12.0
27,12.0
28,11.0
29,11.0
30,12.0
31,12.0
32,12.0
33,12.0
34,13.0
35,13.0
36,14.0
37,14.0
38,14.0
39,14.0
40,15.0
41,15.0
42,15.0
43,16.0
44,16.0
45,17.0
46,18.0
47,19.0
48,19.0
49,19.0
50,20.0
51,21.0
52,21.0
53,21.0
54,21.0
55,21.0
56,21.0
57,21.0
58,21.0
59,21.0
60,21.0
61,21.0
62,22.0
63,23.0
64,23.0
65,25.0
66,25.0
67,25.0
68,25.0
69,25.0
70,25.0
71,25.0
72,26.0
73,27.0
74,27.0
75,28.0
76,28.0
77,28.0
78,29.0
79,29.0
80,29.0
81,29.0
82,29.0
83,30.0
84,33.0
85,34.0
86,34.0
87,35.0
88,37.0
89,38.0
90,38.0
91,39.0
92,39.0
93,40.0
94,40.0
95,42.0
96,43.0
97,44.0
98,44.0
99,44.0
100,48.0
101,48.0
