ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,7.0
8,7.0
9,7.0
10,7.0
11,7.0
12,7.0
13,7.0
14,9.0
15,9.0
16,10.0
17,11.0
18,11.0
19,11.0
20,11.0
21,11.0
22,12.0
23,12.0
24,12.0
25,12.0
26,12.0
27,11.0
28,12.0
29,12.0
30,12.0
31,12.0
32,12.0
33,12.0
34,13.0
35,14.0
36,15.0
37,15.0
38,15.0
39,15.0
40,15.0
41,15.0
42,15.0
43,15.0
44,16.0
45,16.0
46,16.0
47,16.0
48,16.0
49,16.0
50,17.0
51,17.0
52,16.0
53,16.0
54,16.0
55,16.0
56,16.0
57,17.0
58,18.0
59,18.0
60,19.0
61,19.0
62,19.0
63,20.0
64,21.0
65,22.0
66,22.0
67,23.0
68,23.0
69,24.0
70,24.0
71,24.0
72,25.0
73,25.0
74,26.0
75,26.0
76,27.0
77,27.0
78,27.0
79,27.0
80,24.0
81,21.0
82,21.0
83,21.0
84,21.0
85,21.0
86,22.0
87,23.0
88,23.0
89,24.0
90,25.0
91,26.0
92,26.0
93,26.0
94,26.0
95,26.0
96,26.0
97,27.0
98,28.0
99,28.0
100,29.0
101,30.0
