ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,7.0
10,7.0
11,8.0
12,8.0
13,8.0
14,8.0
15,8.0
16,8.0
17,8.0
18,9.0
19,9.0
20,9.0
21,9.0
22,9.0
23,9.0
24,9.0
25,9.0
26,9.0
27,10.0
28,10.0
29,8.0
30,8.0
31,9.0
32,10.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,10.0
39,10.0
40,10.0
41,11.0
42,11.0
43,11.0
44,11.0
45,11.0
46,11.0
47,11.0
48,11.0
49,11.0
50,12.0
51,12.0
52,13.0
53,13.0
54,14.0
55,15.0
56,15.0
57,15.0
58,15.0
59,16.0
60,16.0
61,16.0
62,17.0
63,18.0
64,18.0
65,18.0
66,18.0
67,18.0
68,19.0
69,19.0
70,19.0
71,19.0
72,20.0
73,20.0
74,21.0
75,21.0
76,21.0
77,21.0
78,21.0
79,23.0
80,24.0
81,24.0
82,24.0
83,24.0
84,24.0
85,27.0
86,28.0
87,28.0
88,29.0
89,30.0
90,30.0
91,30.0
92,31.0
93,32.0
94,33.0
95,36.0
96,37.0
97,37.0
98,37.0
99,37.0
100,37.0
101,37.0
