ColumnNumber,Differences
1,6.0
2,7.0
3,7.0
4,8.0
5,8.0
6,8.0
7,8.0
8,8.0
9,8.0
10,8.0
11,8.0
12,8.0
13,8.0
14,8.0
15,8.0
16,8.0
17,9.0
18,9.0
19,10.0
20,11.0
21,11.0
22,11.0
23,11.0
24,11.0
25,11.0
26,11.0
27,11.0
28,9.0
29,9.0
30,10.0
31,10.0
32,11.0
33,12.0
34,12.0
35,12.0
36,13.0
37,13.0
38,13.0
39,14.0
40,15.0
41,15.0
42,15.0
43,16.0
44,16.0
45,16.0
46,17.0
47,17.0
48,17.0
49,18.0
50,18.0
51,18.0
52,18.0
53,19.0
54,19.0
55,19.0
56,19.0
57,19.0
58,19.0
59,19.0
60,19.0
61,19.0
62,19.0
63,19.0
64,19.0
65,19.0
66,19.0
67,21.0
68,21.0
69,22.0
70,23.0
71,23.0
72,23.0
73,23.0
74,23.0
75,23.0
76,24.0
77,24.0
78,25.0
79,25.0
80,25.0
81,25.0
82,26.0
83,18.0
84,15.0
85,14.0
86,14.0
87,14.0
88,14.0
89,15.0
90,14.0
91,14.0
92,14.0
93,14.0
94,14.0
95,14.0
96,14.0
97,16.0
98,17.0
99,19.0
100,21.0
101,21.0
