ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,8.0
6,8.0
7,8.0
8,8.0
9,8.0
10,8.0
11,8.0
12,8.0
13,8.0
14,8.0
15,8.0
16,8.0
17,8.0
18,8.0
19,8.0
20,9.0
21,10.0
22,10.0
23,11.0
24,11.0
25,11.0
26,11.0
27,11.0
28,11.0
29,10.0
30,12.0
31,12.0
32,12.0
33,12.0
34,12.0
35,13.0
36,13.0
37,13.0
38,13.0
39,13.0
40,13.0
41,13.0
42,14.0
43,15.0
44,16.0
45,16.0
46,17.0
47,17.0
48,17.0
49,17.0
50,17.0
51,17.0
52,17.0
53,18.0
54,19.0
55,19.0
56,20.0
57,20.0
58,20.0
59,19.0
60,19.0
61,19.0
62,19.0
63,19.0
64,20.0
65,22.0
66,22.0
67,22.0
68,22.0
69,23.0
70,23.0
71,23.0
72,23.0
73,23.0
74,23.0
75,25.0
76,26.0
77,26.0
78,26.0
79,26.0
80,27.0
81,27.0
82,27.0
83,26.0
84,30.0
85,30.0
86,31.0
87,31.0
88,32.0
89,33.0
90,33.0
91,33.0
92,34.0
93,35.0
94,35.0
95,35.0
96,35.0
97,39.0
98,39.0
99,39.0
100,39.0
101,41.0
