ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,6.0
11,6.0
12,6.0
13,6.0
14,6.0
15,7.0
16,7.0
17,7.0
18,8.0
19,8.0
20,8.0
21,9.0
22,10.0
23,10.0
24,10.0
25,10.0
26,10.0
27,10.0
28,10.0
29,11.0
30,11.0
31,11.0
32,11.0
33,11.0
34,11.0
35,12.0
36,12.0
37,12.0
38,13.0
39,13.0
40,13.0
41,13.0
42,13.0
43,14.0
44,14.0
45,14.0
46,14.0
47,14.0
48,14.0
49,16.0
50,16.0
51,16.0
52,16.0
53,18.0
54,18.0
55,19.0
56,19.0
57,15.0
58,15.0
59,15.0
60,15.0
61,15.0
62,16.0
63,17.0
64,18.0
65,18.0
66,18.0
67,18.0
68,18.0
69,18.0
70,18.0
71,18.0
72,18.0
73,18.0
74,18.0
75,19.0
76,19.0
77,19.0
78,20.0
79,21.0
80,21.0
81,24.0
82,24.0
83,22.0
84,22.0
85,22.0
86,23.0
87,24.0
88,24.0
89,25.0
90,26.0
91,26.0
92,26.0
93,27.0
94,27.0
95,28.0
96,28.0
97,28.0
98,28.0
99,29.0
100,31.0
101,31.0
