ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,7.0
5,7.0
6,7.0
7,8.0
8,8.0
9,9.0
10,9.0
11,10.0
12,10.0
13,11.0
14,11.0
15,11.0
16,11.0
17,12.0
18,12.0
19,12.0
20,12.0
21,12.0
22,12.0
23,12.0
24,12.0
25,12.0
26,12.0
27,11.0
28,11.0
29,11.0
30,11.0
31,11.0
32,11.0
33,11.0
34,11.0
35,12.0
36,12.0
37,13.0
38,13.0
39,13.0
40,15.0
41,15.0
42,16.0
43,17.0
44,17.0
45,19.0
46,20.0
47,20.0
48,20.0
49,20.0
50,20.0
51,20.0
52,20.0
53,20.0
54,20.0
55,20.0
56,20.0
57,20.0
58,20.0
59,20.0
60,20.0
61,21.0
62,21.0
63,21.0
64,23.0
65,23.0
66,25.0
67,26.0
68,27.0
69,27.0
70,28.0
71,29.0
72,30.0
73,31.0
74,31.0
75,32.0
76,34.0
77,35.0
78,35.0
79,35.0
80,36.0
81,37.0
82,37.0
83,37.0
84,38.0
85,38.0
86,38.0
87,38.0
88,41.0
89,42.0
90,42.0
91,43.0
92,45.0
93,48.0
94,48.0
95,50.0
96,51.0
97,51.0
98,51.0
99,52.0
100,52.0
101,54.0
