ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,7.0
9,7.0
10,7.0
11,8.0
12,8.0
13,8.0
14,9.0
15,9.0
16,9.0
17,9.0
18,9.0
19,10.0
20,11.0
21,12.0
22,12.0
23,12.0
24,12.0
25,12.0
26,12.0
27,12.0
28,11.0
29,12.0
30,12.0
31,12.0
32,12.0
33,12.0
34,12.0
35,12.0
36,12.0
37,13.0
38,13.0
39,14.0
40,14.0
41,14.0
42,17.0
43,17.0
44,18.0
45,19.0
46,19.0
47,19.0
48,19.0
49,19.0
50,19.0
51,19.0
52,19.0
53,19.0
54,19.0
55,19.0
56,19.0
57,19.0
58,19.0
59,19.0
60,19.0
61,19.0
62,19.0
63,19.0
64,19.0
65,19.0
66,20.0
67,21.0
68,23.0
69,24.0
70,26.0
71,26.0
72,27.0
73,28.0
74,29.0
75,30.0
76,30.0
77,30.0
78,31.0
79,31.0
80,31.0
81,31.0
82,31.0
83,31.0
84,31.0
85,31.0
86,31.0
87,31.0
88,31.0
89,31.0
90,31.0
91,32.0
92,32.0
93,33.0
94,34.0
95,35.0
96,36.0
97,36.0
98,38.0
99,40.0
100,41.0
101,41.0
