ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,7.0
10,7.0
11,7.0
12,7.0
13,7.0
14,8.0
15,8.0
16,9.0
17,9.0
18,9.0
19,9.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,12.0
27,12.0
28,12.0
29,12.0
30,11.0
31,11.0
32,11.0
33,11.0
34,12.0
35,12.0
36,12.0
37,12.0
38,12.0
39,12.0
40,13.0
41,14.0
42,15.0
43,15.0
44,15.0
45,15.0
46,15.0
47,15.0
48,17.0
49,19.0
50,19.0
51,19.0
52,19.0
53,19.0
54,20.0
55,20.0
56,20.0
57,20.0
58,20.0
59,20.0
60,20.0
61,21.0
62,21.0
63,21.0
64,22.0
65,22.0
66,23.0
67,23.0
68,24.0
69,24.0
70,24.0
71,25.0
72,26.0
73,26.0
74,26.0
75,26.0
76,26.0
77,30.0
78,30.0
79,31.0
80,31.0
81,32.0
82,34.0
83,35.0
84,35.0
85,35.0
86,36.0
87,37.0
88,37.0
89,38.0
90,40.0
91,40.0
92,40.0
93,40.0
94,40.0
95,41.0
96,41.0
97,41.0
98,42.0
99,42.0
100,45.0
101,46.0
