ColumnNumber,Differences
1,6.0
2,6.0
3,8.0
4,8.0
5,9.0
6,9.0
7,10.0
8,10.0
9,10.0
10,10.0
11,10.0
12,10.0
13,10.0
14,11.0
15,11.0
16,11.0
17,11.0
18,11.0
19,11.0
20,11.0
21,12.0
22,12.0
23,12.0
24,14.0
25,14.0
26,14.0
27,14.0
28,14.0
29,14.0
30,14.0
31,14.0
32,14.0
33,14.0
34,14.0
35,14.0
36,14.0
37,14.0
38,14.0
39,15.0
40,16.0
41,16.0
42,16.0
43,17.0
44,17.0
45,17.0
46,18.0
47,18.0
48,18.0
49,18.0
50,18.0
51,19.0
52,19.0
53,19.0
54,19.0
55,19.0
56,20.0
57,21.0
58,21.0
59,21.0
60,21.0
61,22.0
62,22.0
63,22.0
64,23.0
65,23.0
66,23.0
67,25.0
68,25.0
69,27.0
70,28.0
71,29.0
72,29.0
73,30.0
74,31.0
75,32.0
76,33.0
77,34.0
78,35.0
79,35.0
80,36.0
81,37.0
82,37.0
83,37.0
84,37.0
85,37.0
86,37.0
87,38.0
88,38.0
89,39.0
90,41.0
91,42.0
92,43.0
93,44.0
94,44.0
95,45.0
96,45.0
97,46.0
98,47.0
99,49.0
100,51.0
101,51.0
