ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,7.0
7,7.0
8,7.0
9,7.0
10,8.0
11,9.0
12,9.0
13,9.0
14,9.0
15,9.0
16,9.0
17,9.0
18,9.0
19,9.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,10.0
27,10.0
28,9.0
29,9.0
30,9.0
31,9.0
32,9.0
33,9.0
34,9.0
35,9.0
36,10.0
37,10.0
38,10.0
39,11.0
40,12.0
41,13.0
42,13.0
43,13.0
44,13.0
45,15.0
46,15.0
47,16.0
48,16.0
49,16.0
50,16.0
51,16.0
52,16.0
53,16.0
54,15.0
55,15.0
56,15.0
57,15.0
58,15.0
59,15.0
60,16.0
61,16.0
62,16.0
63,16.0
64,17.0
65,17.0
66,17.0
67,17.0
68,17.0
69,18.0
70,19.0
71,19.0
72,19.0
73,19.0
74,19.0
75,20.0
76,20.0
77,20.0
78,21.0
79,20.0
80,20.0
81,20.0
82,20.0
83,21.0
84,22.0
85,23.0
86,23.0
87,23.0
88,23.0
89,25.0
90,25.0
91,25.0
92,25.0
93,25.0
94,26.0
95,28.0
96,28.0
97,28.0
98,27.0
99,28.0
100,28.0
101,28.0
102,29.0
103,29.0
104,31.0
105,31.0
106,31.0
107,32.0
108,32.0
109,33.0
110,33.0
111,35.0
112,37.0
113,38.0
114,39.0
115,39.0
116,39.0
117,40.0
118,42.0
119,43.0
120,43.0
121,43.0
