ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,7.0
5,7.0
6,7.0
7,8.0
8,8.0
9,8.0
10,8.0
11,9.0
12,10.0
13,10.0
14,10.0
15,11.0
16,11.0
17,11.0
18,11.0
19,11.0
20,11.0
21,11.0
22,11.0
23,11.0
24,11.0
25,11.0
26,11.0
27,11.0
28,12.0
29,11.0
30,11.0
31,12.0
32,12.0
33,13.0
34,14.0
35,14.0
36,14.0
37,14.0
38,14.0
39,14.0
40,14.0
41,14.0
42,14.0
43,15.0
44,15.0
45,15.0
46,15.0
47,16.0
48,17.0
49,17.0
50,17.0
51,17.0
52,18.0
53,18.0
54,18.0
55,18.0
56,18.0
57,17.0
58,13.0
59,12.0
60,12.0
61,13.0
62,13.0
63,13.0
64,13.0
65,13.0
66,15.0
67,15.0
68,16.0
69,16.0
70,16.0
71,16.0
72,17.0
73,18.0
74,18.0
75,18.0
76,18.0
77,18.0
78,19.0
79,19.0
80,20.0
81,20.0
82,20.0
83,20.0
84,21.0
85,19.0
86,20.0
87,19.0
88,20.0
89,20.0
90,20.0
91,20.0
92,20.0
93,20.0
94,20.0
95,20.0
96,21.0
97,21.0
98,21.0
99,22.0
100,22.0
101,23.0
102,24.0
103,25.0
104,25.0
105,27.0
106,28.0
107,28.0
108,28.0
109,29.0
110,30.0
111,30.0
112,31.0
113,28.0
114,28.0
115,28.0
116,29.0
117,29.0
118,29.0
119,29.0
120,29.0
121,29.0
