ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,7.0
6,7.0
7,7.0
8,8.0
9,8.0
10,8.0
11,8.0
12,9.0
13,9.0
14,9.0
15,10.0
16,10.0
17,10.0
18,10.0
19,10.0
20,10.0
21,10.0
22,10.0
23,11.0
24,11.0
25,11.0
26,10.0
27,10.0
28,10.0
29,10.0
30,10.0
31,10.0
32,10.0
33,10.0
34,11.0
35,12.0
36,12.0
37,13.0
38,14.0
39,14.0
40,16.0
41,17.0
42,17.0
43,18.0
44,18.0
45,18.0
46,18.0
47,19.0
48,20.0
49,20.0
50,20.0
51,20.0
52,20.0
53,20.0
54,20.0
55,22.0
56,22.0
57,22.0
58,22.0
59,23.0
60,23.0
61,24.0
62,24.0
63,24.0
64,26.0
65,27.0
66,27.0
67,27.0
68,27.0
69,28.0
70,28.0
71,28.0
72,28.0
73,29.0
74,29.0
75,29.0
76,29.0
77,32.0
78,32.0
79,32.0
80,34.0
81,34.0
82,35.0
83,35.0
84,36.0
85,36.0
86,37.0
87,37.0
88,39.0
89,40.0
90,40.0
91,41.0
92,41.0
93,43.0
94,44.0
95,44.0
96,45.0
97,46.0
98,47.0
99,48.0
100,48.0
101,49.0
102,50.0
103,50.0
104,50.0
105,52.0
106,52.0
107,53.0
108,55.0
109,55.0
110,55.0
111,56.0
112,58.0
113,61.0
114,62.0
115,62.0
116,61.0
117,63.0
118,65.0
119,66.0
120,67.0
121,68.0
