ColumnNumber,Differences
1,6.0
2,6.0
3,7.0
4,7.0
5,8.0
6,9.0
7,9.0
8,9.0
9,9.0
10,9.0
11,9.0
12,10.0
13,10.0
14,10.0
15,10.0
16,10.0
17,10.0
18,10.0
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,11.0
25,12.0
26,13.0
27,13.0
28,13.0
29,13.0
30,12.0
31,15.0
32,15.0
33,15.0
34,15.0
35,15.0
36,15.0
37,15.0
38,15.0
39,15.0
40,16.0
41,16.0
42,17.0
43,17.0
44,17.0
45,17.0
46,17.0
47,17.0
48,18.0
49,18.0
50,18.0
51,19.0
52,19.0
53,20.0
54,22.0
55,22.0
56,23.0
57,23.0
58,24.0
59,24.0
60,24.0
61,24.0
62,24.0
63,24.0
64,24.0
65,24.0
66,24.0
67,24.0
68,24.0
69,24.0
70,24.0
71,24.0
72,26.0
73,26.0
74,27.0
75,27.0
76,27.0
77,29.0
78,33.0
79,33.0
80,33.0
81,34.0
82,35.0
83,36.0
84,36.0
85,37.0
86,31.0
87,31.0
88,32.0
89,32.0
90,32.0
91,31.0
92,31.0
93,31.0
94,31.0
95,33.0
96,36.0
97,37.0
98,39.0
99,39.0
100,39.0
101,42.0
102,42.0
103,43.0
104,45.0
105,47.0
106,48.0
107,49.0
108,49.0
109,49.0
110,51.0
111,53.0
112,53.0
113,56.0
114,58.0
115,58.0
116,59.0
117,61.0
118,59.0
119,58.0
120,58.0
121,59.0
