ColumnNumber,Differences
1,6.0
2,6.0
3,7.0
4,8.0
5,8.0
6,8.0
7,8.0
8,8.0
9,9.0
10,10.0
11,10.0
12,10.0
13,10.0
14,11.0
15,11.0
16,11.0
17,11.0
18,11.0
19,11.0
20,11.0
21,11.0
22,11.0
23,13.0
24,13.0
25,12.0
26,12.0
27,13.0
28,13.0
29,13.0
30,13.0
31,13.0
32,13.0
33,13.0
34,13.0
35,13.0
36,14.0
37,14.0
38,14.0
39,14.0
40,14.0
41,14.0
42,14.0
43,14.0
44,15.0
45,15.0
46,16.0
47,16.0
48,16.0
49,16.0
50,17.0
51,17.0
52,17.0
53,17.0
54,18.0
55,18.0
56,18.0
57,19.0
58,19.0
59,20.0
60,19.0
61,19.0
62,19.0
63,19.0
64,20.0
65,20.0
66,21.0
67,21.0
68,21.0
69,21.0
70,21.0
71,21.0
72,23.0
73,23.0
74,23.0
75,23.0
76,24.0
77,24.0
78,24.0
79,25.0
80,26.0
81,26.0
82,28.0
83,29.0
84,30.0
85,30.0
86,30.0
87,30.0
88,31.0
89,31.0
90,31.0
91,31.0
92,31.0
93,31.0
94,32.0
95,32.0
96,32.0
97,34.0
98,35.0
99,36.0
100,36.0
101,36.0
102,37.0
103,40.0
104,42.0
105,42.0
106,43.0
107,43.0
108,43.0
109,43.0
110,43.0
111,43.0
112,43.0
113,43.0
114,45.0
115,47.0
116,49.0
117,50.0
118,50.0
119,52.0
120,53.0
121,54.0
