ColumnNumber,Differences
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,8.0
7,8.0
8,8.0
9,8.0
10,9.0
11,10.0
12,11.0
13,11.0
14,11.0
15,12.0
16,12.0
17,12.0
18,12.0
19,13.0
20,13.0
21,13.0
22,13.0
23,13.0
24,13.0
25,13.0
26,13.0
27,13.0
28,13.0
29,13.0
30,11.0
31,12.0
32,12.0
33,14.0
34,15.0
35,15.0
36,15.0
37,15.0
38,16.0
39,17.0
40,17.0
41,17.0
42,17.0
43,17.0
44,18.0
45,19.0
46,19.0
47,19.0
48,19.0
49,19.0
50,19.0
51,20.0
52,20.0
53,20.0
54,20.0
55,20.0
56,21.0
57,22.0
58,20.0
59,20.0
60,21.0
61,21.0
62,21.0
63,22.0
64,22.0
65,22.0
66,22.0
67,24.0
68,25.0
69,26.0
70,27.0
71,27.0
72,27.0
73,27.0
74,27.0
75,27.0
76,28.0
77,28.0
78,28.0
79,28.0
80,29.0
81,29.0
82,29.0
83,29.0
84,29.0
85,31.0
86,33.0
87,33.0
88,33.0
89,35.0
90,35.0
91,35.0
92,35.0
93,35.0
94,35.0
95,36.0
96,38.0
97,38.0
98,39.0
99,39.0
100,39.0
101,41.0
102,42.0
103,42.0
104,43.0
105,46.0
106,46.0
107,46.0
108,47.0
109,47.0
110,47.0
111,48.0
112,48.0
113,50.0
114,52.0
115,52.0
116,54.0
117,56.0
118,56.0
119,57.0
120,58.0
121,59.0
